AAL,22.27,-1.56,22.15,22.17,19.07
AAPL,122.54,-.85,122.36,122.44,41.94
ABNB,187.14,-7.86,186.65,187.00,16.47
ABT,120.49,-.98,120.50,121.00,74.93
ACB,9.32,-.38,9.28,9.29,2.78
ADBE,460.20,+7.79,458.51,460.00,77.78
ADSK,269.00,+3.04,269.50,275.00,53.85
AE,31.29,-2.24,17.00,36.42,31.59
AEO,27.12,-1.69,19.66,28.85,7.64
AI,70.51,-4.55,70.30,70.48,1.8
ALGN,518.88,-11.72,519.00,544.00,16.83
ALL,111.86,-.38,106.12,113.00,13.91
AMC,10.66,-1.83,10.16,10.17,22.86
AMD,78.38,-1.92,76.52,76.66,13.22
AMED,269.20,-1.17,210.24,275.00,73.94
AMGN,245.04,-4.65,241.01,248.99,76.72
AMT,229.85,+4.02,222.10,229.90,94.91
AMZN,3137.50,+26.63,3138.00,3140.00,73.09
APRN,7.65,-.43,7.56,7.84,38.36
ATRI,646.39,-9.62,636.53,828.29,18.31
ATVI,91.38,-.49,91.10,91.96,39.31
AXP,136.08,-3.87,135.03,137.00,6.16
BA,241.25,-9.98,240.46,240.68,18.32
BABA,237.67,+.55,238.03,238.39,74.98
BAC,36.90,-.76,36.83,36.92,14.73
BB,10.07,-.64,10.08,10.10,2.0
BBBY,30.02,-1.72,29.86,30.06,39.9
BBY,118.81,-2.15,118.32,118.81,82.59
BE,26.58,-1.03,25.95,26.45,32.78
BIDU,261.55,-4.58,264.24,264.30,47.49
BIG,67.60,-3.19,67.01,68.19,46.07
BIIB,267.21,-5.13,265.00,269.49,71.63
BKNG,2215.00,-16.89,2180.00,2226.00,10.71
BLK,716.57,-14.35,709.69,743.33,27.86
BYND,137.10,-2.50,136.00,137.27,23.64
C,70.91,-1.05,70.75,70.93,7.2
CAT,218.25,-7.77,218.00,218.85,7.57
CCL,25.33,-2.15,25.33,25.41,3.04
CGC,32.45,-1.01,32.34,32.45,17.94
CHGG,91.06,-1.54,85.01,93.39,61.98
CHTR,645.45,+7.83,631.00,685.00,75.26
CHWY,84.69,-1.19,84.66,85.01,69.45
CL,77.75,+1.98,76.99,78.57,86.36
CMCSA,56.14,-.23,56.00,56.69,26.69
CMG,1451.29,+6.96,1442.50,1454.88,43.96
COF,122.41,-2.81,121.01,128.92,8.9
COST,340.34,+5.85,342.25,342.60,91.39
CRM,215.00,-.17,214.20,214.89,67.55
CRON,9.54,-.21,9.50,9.54,4.11
CRSP,126.49,-6.51,126.10,127.25,26.81
CRSR,31.48,-.81,31.58,31.82,3.77
CSCO,50.01,-.29,49.97,50.10,73.09
CVS,71.90,-1.57,71.96,72.27,18.51
CVX,101.97,-.57,101.90,102.20,10.66
CWBC,12.60,-.30,.0001,13.03,72.19
DASH,131.76,-4.15,132.30,133.00,22.47
DBX,27.35,+.03,27.05,27.50,75.31
DIS,188.73,-4.13,188.80,188.85,6.86
DISH,35.94,-1.60,35.00,36.67,30.82
DLTR,109.86,-.39,108.27,111.22,78.5
DOCU,207.96,+.53,207.63,208.00,31.44
DOMO,61.77,-4.35,60.00,62.70,17.54
DOW,60.75,-2.76,60.60,60.89,5.09
EA,133.05,+1.64,132.00,134.96,80.11
EBAY,60.31,+.02,60.04,60.30,88.92
ECHO,29.50,-1.34,29.00,36.00,1.35
ED,73.24,+1.19,73.00,73.30,95.95
ETSY,219.67,-.10,219.00,221.00,58.45
EXPE,168.42,-4.67,168.10,169.30,12.98
F,12.21,-.64,12.21,12.22,6.0
FAST,47.70,-.28,47.43,48.60,70.69
FB,290.63,-2.91,290.20,290.49,75.36
FDX,266.81,-7.21,266.80,267.20,37.62
FL,55.59,-2.46,55.59,59.00,14.16
GE,12.66,-.47,12.66,12.69,39.66
GILD,64.50,-1.03,64.25,64.60,72.18
GLD,161.81,-1.19,162.29,162.42,51.25
GM,56.16,-1.94,56.10,56.13,17.39
GME,181.75,-12.74,154.00,154.29,5.52
GOOG,2052.96,+14.37,2048.51,2055.88,32.66
GOOGL,2041.33,+10.64,2041.35,2045.00,34.67
GOOS,41.70,-1.88,40.50,43.00,9.2
GPRO,12.41,-.96,12.28,12.35,74.25
GPS,27.87,-2.33,27.79,28.10,2.31
GRUB,62.71,-.21,50.00,63.25,11.73
GS,331.77,-7.56,331.35,332.25,1.72
HAL,20.81,-.73,20.70,20.81,5.82
HAS,96.75,-.10,93.45,97.00,75.57
HD,289.98,+1.04,288.50,289.99,88.25
IBM,130.46,-.09,130.20,130.75,84.17
ILMN,416.43,-13.49,416.00,449.00,59.67
INTC,63.48,-2.15,67.65,67.69,31.76
INTU,383.20,+.18,369.00,386.00,34.65
JBLU,19.25,+.05,19.22,19.27,11.61
JD,83.51,-1.46,83.33,83.40,9.1
JNJ,160.35,-.15,160.25,160.35,68.42
JOBS,63.11,+1.04,61.05,78.00,40.44
JPM,149.46,-1.51,149.38,149.50,3.93
KHC,38.92,-.63,38.97,39.19,58.42
KLAC,297.06,-8.30,307.00,309.75,52.72
KO,51.39,+.39,51.11,51.38,82.43
KR,36.64,+.45,36.60,37.01,85.56
KSS,55.54,-3.20,55.14,56.50,7.81
LGND,149.98,-14.57,147.77,163.00,19.3
LLY,183.68,-2.16,183.65,183.99,1.9
LMT,353.61,-4.05,354.00,354.69,75.48
LOW,180.40,-1.49,179.94,180.40,80.39
LRCX,544.41,-15.62,561.16,564.50,55.3
LULU,314.03,+.43,312.51,314.00,67.38
LUV,57.62,-1.84,57.65,57.80,9.83
LWAY,6.41,-.33,6.00,7.00,42.35
LYFT,61.56,-2.60,61.30,61.52,9.43
LYV,81.64,-2.64,81.01,82.00,5.53
M,16.09,-1.69,15.93,16.00,1.76
MA,355.27,-3.13,354.00,355.27,13.03
MAA,144.75,+1.99,133.37,148.00,86.21
MAR,142.42,-9.08,142.65,143.20,6.28
MAT,20.14,-.735,19.92,20.40,17.81
MCD,224.37,-.70,224.12,225.19,86.4
MDB,305.00,-4.77,303.00,306.50,29.6
MDLZ,58.60,-.235,58.60,58.68,89.16
MET,58.66,-1.45,58.55,59.00,6.54
MFNC,14.00,-.01,13.28,18.85,28.51
MMM,188.33,-1.14,188.36,190.74,64.79
MNR,17.70,-.02,10.85,18.73,17.73
MNST,89.62,+.57,88.85,90.99,72.73
MO,50.51,-1.13,50.33,50.50,69.44
MRNA,136.52,-9.08,137.51,138.00,26.68
MS,79.12,-2.80,79.07,79.45,3.47
MSFT,237.58,+1.59,237.60,237.72,70.34
MU,85.40,-5.88,85.90,86.00,4.09
NFLX,535.09,+11.98,534.20,536.00,80.65
NIO,41.18,-1.76,41.08,41.10,15.4
NKE,137.12,-1.15,137.10,137.49,14.44
NOC,314.14,-.07,314.14,323.00,84.86
NRZ,10.76,-.38,10.77,10.84,15.24
NUGT,55.09,-3.16,55.02,55.22,21.72
NVDA,522.83,-4.62,522.00,524.00,58.13
OCUL,18.57,-1.38,18.30,18.80,19.83
ORCL,67.27,+.95,67.28,67.36,22.47
ORLY,485.29,-5.55,477.00,502.14,67.59
PEP,139.46,+1.66,139.60,139.80,92.63
PFE,35.36,-.64,35.36,35.40,56.67
PG,132.60,+2.42,132.26,132.50,91.18
PINS,71.24,-1.11,70.90,71.52,47.86
PLTR,23.26,-.96,23.25,23.27,3.66
PTON,113.35,+3.81,112.98,113.37,66.93
PYPL,243.77,-.615,242.00,243.40,37.32
QCOM,132.52,-1.57,132.32,132.60,61.4
QQQ,317.22,-1.39,317.75,317.90,51.99
RCL,83.90,-5.00,83.50,83.80,6.2
REGN,469.76,-13.46,466.02,473.50,17.94
ROKU,342.24,-14.08,340.50,341.00,19.41
ROST,116.68,-3.98,116.00,118.20,10.26
SBUX,106.25,-1.32,106.25,106.28,8.64
SHAK,115.10,-4.29,115.00,118.00,5.46
SHOP,1162.00,+2.00,1165.00,1169.00,74.66
SNAP,55.26,-2.90,55.30,55.65,6.27
SONO,38.80,-2.29,38.52,38.99,20.93
SPOT,267.30,-8.17,267.00,286.00,4.35
SPY,389.50,-3.09,389.24,389.66,21.42
SQ,223.20,-2.93,221.70,222.44,11.16
TEX,42.69,-3.02,42.57,43.44,5.49
TLND,64.29,+.09,64.01,64.55,82.5
TLRY,23.22,-.68,22.95,22.98,10.38
TMUS,124.39,-1.72,124.39,125.25,19.75
TSLA,662.16,-7.84,663.00,663.98,40.27
TTWO,173.85,+1.97,173.51,175.00,77.06
TWLO,354.42,-5.38,354.22,355.99,25.04
TWTR,64.27,-.94,64.09,64.50,2.06
TXN,178.78,-1.32,178.35,180.50,71.42
UBER,53.49,-2.20,53.52,53.68,4.8
UG,15.30,-.19,14.00,16.00,80.13
ULTA,309.53,-5.56,308.26,312.29,7.72
UNH,368.50,+1.64,364.13,369.29,86.81
UNP,208.05,+1.78,208.01,208.50,25.29
UPS,159.86,-1.20,159.50,159.86,13.02
URI,299.93,-11.55,297.10,303.00,11.09
USB,53.58,-.66,51.30,54.26,18.48
USO,39.37,-2.34,39.47,39.58,1.86
W,335.93,-9.54,333.11,344.00,61.85
WBA,52.03,-1.08,52.60,52.90,45.32
WDAY,257.39,+.12,251.00,262.00,71.63
WDC,65.46,-4.87,65.40,65.72,9.71
WFC,38.24,-.73,38.10,38.16,5.44
WMT,133.94,+1.57,134.25,134.40,87.1
WYNN,125.15,-7.72,124.89,125.50,3.99
XLU,62.57,+.92,61.26,62.51,62.07
XOM,55.22,-.69,55.18,55.24,9.51
ZM,339.76,+11.26,340.00,341.00,59.7